Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,SNARE interactions in vesicular transport,3/33,0.0005934098642840978,0.0700223639855235,0,0,20.484536082474225,152.19242604001315,STX8;STX4;VAMP2
KEGG_2021_Human,Base excision repair,2/33,0.0118145960439167,0.6627682888275269,0,0,13.08031599736669,58.0559303610333,POLE;UNG
KEGG_2021_Human,Vasopressin-regulated water reabsorption,2/44,0.0204294838615153,0.6627682888275269,0,0,9.649173955296405,37.54277574025534,STX4;VAMP2
KEGG_2021_Human,Spliceosome,3/150,0.0394642695250037,0.6627682888275269,0,0,4.155901535872081,13.433368165586538,PRPF18;SNRNP27;HSPA2
KEGG_2021_Human,Necroptosis,3/159,0.0455880793261003,0.6627682888275269,0,0,3.914353687549564,12.087950910125883,CHMP1A;CHMP2A;SLC25A4
KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.0536582567508638,0.6627682888275269,0,0,20.09090909090909,58.76831842188268,ADO
KEGG_2021_Human,Protein processing in endoplasmic reticulum,3/171,0.0544403566847164,0.6627682888275269,0,0,3.6325478645066274,10.573073804758774,SEC61G;DNAJB12;HSPA2
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.0732536203857354,0.6627682888275269,0,0,4.647665962936899,12.148197603177868,PRKCQ;PDCD1
KEGG_2021_Human,T cell receptor signaling pathway,2/104,0.0955625544444408,0.6627682888275269,0,0,3.961184473789516,9.300759047174036,PRKCQ;PDCD1
KEGG_2021_Human,Protein export,1/23,0.1089472978360328,0.6627682888275269,0,0,9.1267217630854,20.232947516534363,SEC61G
KEGG_2021_Human,Folate biosynthesis,1/26,0.1222622476286691,0.6627682888275269,0,0,8.030303030303031,16.876380218002918,PCBD2
KEGG_2021_Human,Butanoate metabolism,1/28,0.1310292553948657,0.6627682888275269,0,0,7.434717545828657,15.109834134055738,ABAT
KEGG_2021_Human,Endocytosis,3/252,0.1322873238446812,0.6627682888275269,0,0,2.4408148056142096,4.937228995568672,CHMP1A;CHMP2A;HSPA2
KEGG_2021_Human,beta-Alanine metabolism,1/30,0.1397095639188418,0.6627682888275269,0,0,6.921281783350749,13.622394510819325,ABAT
KEGG_2021_Human,RNA polymerase,1/31,0.1440174715013112,0.6627682888275269,0,0,6.69023569023569,12.964476920040203,POLR2K
KEGG_2021_Human,Autophagy,2/137,0.1499507080843318,0.6627682888275269,0,0,2.9879062736205597,5.669398730173793,PPP2CA;PRKCQ
KEGG_2021_Human,Estrogen signaling pathway,2/137,0.1499507080843318,0.6627682888275269,0,0,2.9879062736205597,5.669398730173793,HSPA2;KRT9
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.152569319997184,0.6627682888275269,0,0,6.271464646464646,11.79120788980768,TIGAR
KEGG_2021_Human,Prion disease,3/273,0.1566730077180108,0.6627682888275269,0,0,2.24856815578465,4.167933339263407,NDUFB6;HSPA2;SLC25A4
KEGG_2021_Human,Propanoate metabolism,1/34,0.1568134700259566,0.6627682888275269,0,0,6.081114172023263,11.266469699963473,ABAT
KEGG_2021_Human,DNA replication,1/36,0.165238740567014,0.6627682888275269,0,0,5.733044733044733,10.321566994169176,POLE
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",1/37,0.1694200671801256,0.6627682888275269,0,0,5.57351290684624,9.895070145641316,ABAT
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,2/150,0.1727913280938574,0.6627682888275269,0,0,2.7236624379481524,4.7818540898178,MYL4;PPP2CA
KEGG_2021_Human,Primary immunodeficiency,1/38,0.1735806579316256,0.6627682888275269,0,0,5.422604422604422,9.495592558231127,UNG
KEGG_2021_Human,Cushing syndrome,2/155,0.1817247564919734,0.6627682888275269,0,0,2.633986928104575,4.49163798449718,RBBP5;WDR5
KEGG_2021_Human,Cellular senescence,2/156,0.1835199217140049,0.6627682888275269,0,0,2.616750596342433,4.436522833603623,NBN;SLC25A4
KEGG_2021_Human,Homologous recombination,1/41,0.1859390303366049,0.6627682888275269,0,0,5.015151515151516,8.43717221072756,NBN
KEGG_2021_Human,Hippo signaling pathway,2/163,0.1961566278092089,0.6627682888275269,0,0,2.502091519837749,4.075511298482724,PPP2CA;RASSF2
KEGG_2021_Human,Huntington disease,3/306,0.1974810551257451,0.6627682888275269,0,0,2.0003062161886294,3.2447219624565453,NDUFB6;SLC25A4;POLR2K
KEGG_2021_Human,Tight junction,2/169,0.2070740009736848,0.6627682888275269,0,0,2.4114627887082976,3.797279950054776,RAP2C;PPP2CA
KEGG_2021_Human,Nucleotide excision repair,1/47,0.2101094941683413,0.6627682888275269,0,0,4.359683794466403,6.801658146757973,POLE
KEGG_2021_Human,Pyruvate metabolism,1/47,0.2101094941683413,0.6627682888275269,0,0,4.359683794466403,6.801658146757973,ACYP2
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",1/48,0.2140682440880332,0.6627682888275269,0,0,4.266709649688373,6.576964036635908,ABAT
KEGG_2021_Human,Vibrio cholerae infection,1/50,0.2219269115603851,0.6627682888275269,0,0,4.092145949288806,6.1603458876211565,SEC61G
KEGG_2021_Human,Cholesterol metabolism,1/50,0.2219269115603851,0.6627682888275269,0,0,4.092145949288806,6.1603458876211565,NPC2
KEGG_2021_Human,Cysteine and methionine metabolism,1/50,0.2219269115603851,0.6627682888275269,0,0,4.092145949288806,6.1603458876211565,MAT1A
KEGG_2021_Human,Glutathione metabolism,1/57,0.2488245414130006,0.6627682888275269,0,0,3.5793650793650795,4.978922896997587,GSTO1
KEGG_2021_Human,Legionellosis,1/57,0.2488245414130006,0.6627682888275269,0,0,3.5793650793650795,4.978922896997587,HSPA2
KEGG_2021_Human,Long-term depression,1/60,0.2600683562676618,0.6627682888275269,0,0,3.396849854476973,4.574913980988086,PPP2CA
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.2697872573969225,0.6627682888275269,0,0,2.000101533150574,2.620376153040449,NDUFB6;SLC25A4
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.2711455282609312,0.6627682888275269,0,0,3.231997393287716,4.218078497375417,POLR2K
KEGG_2021_Human,Adipocytokine signaling pathway,1/69,0.2928096888806698,0.6627682888275269,0,0,2.9459298871063577,3.6182865561027495,PRKCQ
KEGG_2021_Human,Renal cell carcinoma,1/69,0.2928096888806698,0.6627682888275269,0,0,2.9459298871063577,3.6182865561027495,CRK
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.2963578762035246,0.6627682888275269,0,0,2.9030888596105986,3.530700422312052,TIGAR
KEGG_2021_Human,p53 signaling pathway,1/73,0.3068970331118836,0.6627682888275269,0,0,2.781705948372615,3.2858706369655613,GTSE1
