Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
O60518,RNBP6_HUMAN,RANBP6,sp|O60518|RNBP6_HUMAN,Ran-binding protein 6,1105,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.733635431850985,-16.733635431850985,20 min
Q9HB19,PKHA2_HUMAN,PLEKHA2,sp|Q9HB19|PKHA2_HUMAN,Pleckstrin homology domain-containing family A member 2,425,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.7297435501067,-16.7297435501067,20 min
P27482,CALL3_HUMAN,CALML3,sp|P27482|CALL3_HUMAN,Calmodulin-like protein 3,149,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9988,0.0,16.677411846354264,-16.677411846354264,20 min
O43181,NDUS4_HUMAN,NDUFS4,sp|O43181|NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",175,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.645571896967333,-16.645571896967333,20 min
Q14671,PUM1_HUMAN,PUM1,sp|Q14671|PUM1_HUMAN,Pumilio homolog 1,1186,Homo sapiens,1:Experimental evidence at protein level,0.9996,0.9986,0.0,16.48322949180409,-16.48322949180409,20 min
Q8WTW3,COG1_HUMAN,COG1,sp|Q8WTW3|COG1_HUMAN,Conserved oligomeric Golgi complex subunit 1,980,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.335539810518156,-16.335539810518156,20 min
Q8IYU8,MICU2_HUMAN,MICU2,sp|Q8IYU8|MICU2_HUMAN,"Calcium uptake protein 2, mitochondrial",434,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.116578247502197,-16.116578247502197,20 min
Q8TB36,GDAP1_HUMAN,GDAP1,sp|Q8TB36|GDAP1_HUMAN,Ganglioside-induced differentiation-associated protein 1,358,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.98895838071861,-15.98895838071861,20 min
P00846,ATP6_HUMAN,MT-ATP6,sp|P00846|ATP6_HUMAN,ATP synthase subunit a,226,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,15.98438746856909,-15.98438746856909,20 min
Q9Y5U9,IR3IP_HUMAN,IER3IP1,sp|Q9Y5U9|IR3IP_HUMAN,Immediate early response 3-interacting protein 1,82,Homo sapiens,1:Experimental evidence at protein level,0.9965,0.999,0.0,15.95994458009579,-15.95994458009579,20 min
