time,direction,library,Term,Adjusted P-value,Overlap,Genes_short,rank
20 min,DOWN,GO_Biological_Process_2021,mitochondrial translation (GO:0032543),4.7783740115159805e-05,8/105,MRPL53;NOA1;MRPL16;GATC;MRPL28;MRPS21,1.0
20 min,DOWN,GO_Biological_Process_2021,translational termination (GO:0006415),0.0002273553519694,7/96,N6AMT1;MRPL53;MRPL16;MRPS21;MRPL28;MRPL9,2.0
20 min,DOWN,GO_Biological_Process_2021,translational elongation (GO:0006414),0.000261488970418,7/104,MRPL53;EEF1A2;MRPL16;MRPL28;MRPS21;MRPL9,3.0
20 min,DOWN,GO_Biological_Process_2021,translation (GO:0006412),0.0002765785587952,9/214,N6AMT1;NOA1;EEF1A2;MRPL16;GATC;MRPL28,4.0
20 min,DOWN,GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),0.0008082942615684,6/89,MRPL53;MRPL16;MRPS21;MRPL28;MRPL9;MRPL24,5.0
20 min,DOWN,KEGG_2021_Human,Homologous recombination,0.0778904117598061,3/41,TOP3B;XRCC3;RAD54B,6.0
20 min,DOWN,KEGG_2021_Human,Ribosome,0.0778904117598061,5/158,MRPL16;MRPL28;MRPS21;MRPL9;MRPL24,7.0
20 min,DOWN,KEGG_2021_Human,Cholesterol metabolism,0.0875375246872457,3/50,NPC1;APOA1;APOC3,8.0
20 min,DOWN,KEGG_2021_Human,RNA transport,0.4655739277259773,4/186,EIF2B5;UPF2;NUP42;EEF1A2,9.0
20 min,DOWN,KEGG_2021_Human,Leishmaniasis,0.6263174604390496,1/77,EEF1A2,10.0
