Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
Q15116,PDCD1_HUMAN,PDCD1,sp|Q15116|PDCD1_HUMAN,Programmed cell death protein 1,288,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.932794504245372,0.0,16.932794504245372,20 min
Q9H936,GHC1_HUMAN,SLC25A22,sp|Q9H936|GHC1_HUMAN,Mitochondrial glutamate carrier 1,323,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.430903369721204,0.0,16.430903369721204,20 min
O75496,GEMI_HUMAN,GMNN,sp|O75496|GEMI_HUMAN,Geminin,209,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.236013874372723,0.0,16.236013874372723,20 min
Q15056,IF4H_HUMAN,EIF4H,sp|Q15056|IF4H_HUMAN,Eukaryotic translation initiation factor 4H,248,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.870380922272066,0.0,15.870380922272066,20 min
Q53S33,BOLA3_HUMAN,BOLA3,sp|Q53S33|BOLA3_HUMAN,BolA-like protein 3,107,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,15.612679615217896,0.0,15.612679615217896,20 min
Q9P0N9,TBCD7_HUMAN,TBC1D7,sp|Q9P0N9|TBCD7_HUMAN,TBC1 domain family member 7,293,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,15.503846239050318,0.0,15.503846239050318,20 min
Q9UBS0,KS6B2_HUMAN,RPS6KB2,sp|Q9UBS0|KS6B2_HUMAN,Ribosomal protein S6 kinase beta-2,482,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.257583631918227,0.0,15.257583631918227,20 min
Q5PRF9,SMAG2_HUMAN,SAMD4B,sp|Q5PRF9|SMAG2_HUMAN,Protein Smaug homolog 2,694,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.245939377975185,0.0,15.245939377975185,20 min
Q9Y6W5,WASF2_HUMAN,WASF2,sp|Q9Y6W5|WASF2_HUMAN,Actin-binding protein WASF2,498,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.229405777911385,0.0,15.229405777911385,20 min
Q00266,METK1_HUMAN,MAT1A,sp|Q00266|METK1_HUMAN,S-adenosylmethionine synthase isoform type-1,395,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.132817556446064,0.0,15.132817556446064,20 min
P13051,UNG_HUMAN,UNG,sp|P13051|UNG_HUMAN,Uracil-DNA glycosylase,313,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.961893412592698,0.0,14.961893412592698,20 min
O43903,GAS2_HUMAN,GAS2,sp|O43903|GAS2_HUMAN,Growth arrest-specific protein 2,313,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.813803423679849,0.0,14.813803423679849,20 min
