Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
P80404,GABT_HUMAN,ABAT,sp|P80404|GABT_HUMAN,"4-aminobutyrate aminotransferase, mitochondrial",500,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.90431152755276,0.0,17.90431152755276,5 min
Q15116,PDCD1_HUMAN,PDCD1,sp|Q15116|PDCD1_HUMAN,Programmed cell death protein 1,288,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.7362135893171,0.0,16.7362135893171,5 min
Q9H936,GHC1_HUMAN,SLC25A22,sp|Q9H936|GHC1_HUMAN,Mitochondrial glutamate carrier 1,323,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.618312635810433,0.0,16.618312635810433,5 min
P54652,HSP72_HUMAN,HSPA2,sp|P54652|HSP72_HUMAN,Heat shock-related 70 kDa protein 2,639,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.495260249299708,0.0,16.495260249299708,5 min
O43903,GAS2_HUMAN,GAS2,sp|O43903|GAS2_HUMAN,Growth arrest-specific protein 2,313,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.520784928201628,0.0,15.520784928201628,5 min
Q96D05,F241B_HUMAN,FAM241B,sp|Q96D05|F241B_HUMAN,Protein FAM241B,121,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.120733873835402,0.0,15.120733873835402,5 min
Q8WW33,GTSF1_HUMAN,GTSF1,sp|Q8WW33|GTSF1_HUMAN,Gametocyte-specific factor 1,167,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.995191240076716,0.0,14.995191240076716,5 min
Q12846,STX4_HUMAN,STX4,sp|Q12846|STX4_HUMAN,Syntaxin-4,297,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.948548262236491,0.0,14.948548262236491,5 min
P61964,WDR5_HUMAN,WDR5,sp|P61964|WDR5_HUMAN,WD repeat-containing protein 5,334,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.87191514676665,0.0,14.87191514676665,5 min
P12829,MYL4_HUMAN,MYL4,sp|P12829|MYL4_HUMAN,Myosin light chain 4,197,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.821075363847315,0.0,14.821075363847315,5 min
