Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
A6NC98,CC88B_HUMAN,CCDC88B,sp|A6NC98|CC88B_HUMAN,Coiled-coil domain-containing protein 88B,1476,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9979,0.0,18.551165406765797,-18.551165406765797,0 min
P35222,CTNB1_HUMAN,CTNNB1,sp|P35222|CTNB1_HUMAN,Catenin beta-1,781,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.92545864721304,-17.92545864721304,0 min
Q01804,OTUD4_HUMAN,OTUD4,sp|Q01804|OTUD4_HUMAN,OTU domain-containing protein 4,1114,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.579928496174297,-17.579928496174297,0 min
Q86TU7,SETD3_HUMAN,SETD3,sp|Q86TU7|SETD3_HUMAN,Actin-histidine N-methyltransferase,594,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.342290868493222,-17.342290868493222,0 min
Q86WW8,COA5_HUMAN,COA5,sp|Q86WW8|COA5_HUMAN,Cytochrome c oxidase assembly factor 5,74,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.2772821324238,-17.2772821324238,0 min
O43237,DC1L2_HUMAN,DYNC1LI2,sp|O43237|DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2,492,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.018407759973787,-17.018407759973787,0 min
P80404,GABT_HUMAN,ABAT,sp|P80404|GABT_HUMAN,"4-aminobutyrate aminotransferase, mitochondrial",500,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.88604423288492,-16.88604423288492,0 min
Q9UDT6,CLIP2_HUMAN,CLIP2,sp|Q9UDT6|CLIP2_HUMAN,CAP-Gly domain-containing linker protein 2,1046,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.74257141662186,-16.74257141662186,0 min
P42356,PI4KA_HUMAN,PI4KA,sp|P42356|PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha,2102,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.570830077108976,-16.570830077108976,0 min
Q03188,CENPC_HUMAN,CENPC,sp|Q03188|CENPC_HUMAN,Centromere protein C,943,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.496528635165276,-16.496528635165276,0 min
P32019,I5P2_HUMAN,INPP5B,sp|P32019|I5P2_HUMAN,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",993,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.445868896952046,-16.445868896952046,0 min
Q9Y6N1,COX11_HUMAN,COX11,sp|Q9Y6N1|COX11_HUMAN,"Cytochrome c oxidase assembly protein COX11, mitochondrial",276,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.430124510337624,-16.430124510337624,0 min
P04114,APOB_HUMAN,APOB,sp|P04114|APOB_HUMAN,Apolipoprotein B-100,4563,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,16.422076102903713,-16.422076102903713,0 min
Q5JSL3,DOC11_HUMAN,DOCK11,sp|Q5JSL3|DOC11_HUMAN,Dedicator of cytokinesis protein 11,2073,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.36003825572101,-16.36003825572101,0 min
Q6PIF6,MYO7B_HUMAN,MYO7B,sp|Q6PIF6|MYO7B_HUMAN,Unconventional myosin-VIIb,2116,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.332027629423216,-16.332027629423216,0 min
P51817,PRKX_HUMAN,PRKX,sp|P51817|PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX,358,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,16.286236649703763,-16.286236649703763,0 min
Q03001,DYST_HUMAN,DST,sp|Q03001|DYST_HUMAN,Dystonin,7570,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.278097762069965,-16.278097762069965,0 min
Q8TEU7,RPGF6_HUMAN,RAPGEF6,sp|Q8TEU7|RPGF6_HUMAN,Rap guanine nucleotide exchange factor 6,1601,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.16879060133421,-16.16879060133421,0 min
P18085,ARF4_HUMAN,ARF4,sp|P18085|ARF4_HUMAN,ADP-ribosylation factor 4,180,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.139360691104404,-16.139360691104404,0 min
